Title,Postcode,Size,Price,URL
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,65 m²,€ 394.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791978/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,46 m²,€ 304.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791985/
"""HIGH FIVE - DIEHL IM FÜNFTEN"" - BREEZE",1050,46 m²,€ 310.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/-high-five-diehl-im-fuenften-breeze-1835952516/
"NEUBAUPROJEKT ~ Dachgeschosswohnung ~ mtl. Finanzierung möglich ab EUR 1.700,00",1220,76 m²,€ 519.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/neubauprojekt-dachgeschosswohnung-mtl-finanzierung-moeglich-ab-eur-1-700-00-724790548/
Nähe Naschmarkt - Vollsanierte Altbauwohnung in Toplage,1050,79 m²,€ 598.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/naehe-naschmarkt-vollsanierte-altbauwohnung-in-toplage-1971925118/
5-Zimmer Wohnung mit Loggia in guter Lage,1130,146 m²,€ 560.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/5-zimmer-wohnung-mit-loggia-in-guter-lage-1773616305/
ARTHAlivingwell Dachgeschoßwohnung TOP23,1160,96 m²,€ 639.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/arthalivingwell-dachgeschosswohnung-top23-1218571436/
NEU!!! - Preishit - Erstbezug nach Sanierung - Provisionsfrei,1140,66 m²,€ 279.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1140-penzing/neu-preishit-erstbezug-nach-sanierung-provisionsfrei-1572199800/
1. Reihe am Wasser - 85m2 Balkon YOUR PLACE TO BE,1190,217 m²,€ 2.455.200,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/1-reihe-am-wasser-85m2-balkon-your-place-to-be-1375170480/
Winteraktion! Von der Sonne geküsst! Familientraum direkt am Wasser - Elevate your Lifestyle,1190,116 m²,€ 1.055.120,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/winteraktion-von-der-sonne-gekuesst-familientraum-direkt-am-wasser-elevate-your-lifestyle-2140301042/
LOFT-WOHNUNG IN EHEMALIGER KLAVIERFABRIK IM 2. STOCK MIT GARTEN - RUHIGE LAGE - BARRIEREFREI - ZUM VERKAUF,1050,186 m²,€ 1.920.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/loft-wohnung-in-ehemaliger-klavierfabrik-im-2-stock-mit-garten-ruhige-lage-barrierefrei-zum-verkauf-1671443239/
Neubauwohnungen in TOP Lage - Bezugsfertig !,1210,51 m²,€ 289.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1210-floridsdorf/neubauwohnungen-in-top-lage-bezugsfertig-1696815785/
Neubauwohnungen in TOP Lage - Bezugsfertig !,1210,66 m²,€ 424.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1210-floridsdorf/neubauwohnungen-in-top-lage-bezugsfertig-2025344429/
Neubauwohnungen in TOP Lage - Bezugsfertig !,1210,50 m²,€ 279.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1210-floridsdorf/neubauwohnungen-in-top-lage-bezugsfertig-1213620646/
Neubauwohnungen in TOP Lage - Bezugsfertig !,1210,43 m²,€ 274.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1210-floridsdorf/neubauwohnungen-in-top-lage-bezugsfertig-1057001947/
Neubauwohnungen in TOP Lage - Bezugsfertig !,1210,43 m²,€ 274.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1210-floridsdorf/neubauwohnungen-in-top-lage-bezugsfertig-1057001947/
++1200++ sanierungsbedürftige 1-Zimmer ALTBAUWOHNUNG in toller Lage nahe Augarten!,1200,29 m²,€ 99.230,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/-1200-sanierungsbeduerftige-1-zimmer-altbauwohnung-in-toller-lage-nahe-augarten-789370153/
Neubauwohnungen in TOP Lage - Bezugsfertig !,1210,48 m²,€ 274.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1210-floridsdorf/neubauwohnungen-in-top-lage-bezugsfertig-1861349665/
Einzigartiges LOFT mit Balkon | Traumhafte Immobilie in Ruhelage,1100,97 m²,€ 539.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/einzigartiges-loft-mit-balkon-traumhafte-immobilie-in-ruhelage-1788889553/
Vielfalt an Wohnoptionen - Wohnträume wahrwerden lassen beim Prater,1020,62 m²,€ 479.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/vielfalt-an-wohnoptionen-wohntraeume-wahrwerden-lassen-beim-prater-1151885624/
Genießen Sie das urbane Leben und gleichzeitig die Nähe zur Natur,1170,33 m²,€ 257.800,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1170-hernals/geniessen-sie-das-urbane-leben-und-gleichzeitig-die-naehe-zur-natur-804587251/
TOP LAGE -- Wohnung mit Ausblick ins Grüne -- Privatverkauf,1120,63 m²,€ 246.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1120-meidling/top-lage-wohnung-mit-ausblick-ins-gruene-privatverkauf-1374624325/
"++H7++ Sanierungsbedürftige 2-Zimmer Altbau-Wohnung, viel Potenzial!",1160,31 m²,€ 119.450,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/-h7-sanierungsbeduerftige-2-zimmer-altbau-wohnung-viel-potenzial-837153529/
Geschmackvoll wohnen am Lainzer Tiergarten | 2 Zimmer | großer Balkon,1130,65 m²,€ 450.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/geschmackvoll-wohnen-am-lainzer-tiergarten-2-zimmer-grosser-balkon-1305750520/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,55 m²,€ 399.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730773864/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,42 m²,€ 281.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730773875/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,81 m²,€ 634.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730773876/
"Elegantes Wohnen in historischem Ambiente - mit Weitblick, modernem Komfort und Balkon",1120,125 m²,€ 722.164,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1120-meidling/elegantes-wohnen-in-historischem-ambiente-mit-weitblick-modernem-komfort-und-balkon-809871440/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,43 m²,€ 307.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730764133/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,43 m²,€ 307.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730764139/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,43 m²,€ 307.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730764145/
Coole Startwohnung für junge Leute mit guter Anbindung zum Hauptbahnhof,1050,40 m²,€ 220.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/coole-startwohnung-fuer-junge-leute-mit-guter-anbindung-zum-hauptbahnhof-1686785517/
Wohntraum im 4. Bezirk | hoher Wohnkomfort | 4 Zimmer | 2 Bäder | Nähe WKO & Palais Schönburg,1040,122 m²,€ 848.700,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1040-wieden/wohntraum-im-4-bezirk-hoher-wohnkomfort-4-zimmer-2-baeder-naehe-wko-palais-schoenburg-1683719475/
Erstbezug nach Sanierung!,1190,30 m²,€ 286.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/erstbezug-nach-sanierung-1048265936/
RESIDIEREN AM FREIHOF im Herzen der Weinberge - Historischer Charme kombiniert mit dem Zeitgeist der Moderne,1190,35 m²,€ 245.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/residieren-am-freihof-im-herzen-der-weinberge-historischer-charme-kombiniert-mit-dem-zeitgeist-der-moderne-2122995151/
RESIDIEREN AM FREIHOF im Herzen der Weinberge - Historischer Charme kombiniert mit dem Zeitgeist der Moderne,1190,97 m²,€ 680.470,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/residieren-am-freihof-im-herzen-der-weinberge-historischer-charme-kombiniert-mit-dem-zeitgeist-der-moderne-1959729175/
RESIDIEREN AM FREIHOF im Herzen der Weinberge - Historischer Charme kombiniert mit dem Zeitgeist der Moderne,1190,35 m²,€ 208.620,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/residieren-am-freihof-im-herzen-der-weinberge-historischer-charme-kombiniert-mit-dem-zeitgeist-der-moderne-1618314405/
"Sonnige, charmante Altbauwohung in ruhiger Lage - gute Aufteilung -",1160,38 m²,€ 179.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/sonnige-charmante-altbauwohung-in-ruhiger-lage-gute-aufteilung-1520453224/
"Perfekte Raumaufteilung, sonnige Altbauwohung - ruhige Lage - Bahnhof Hernals",1160,38 m²,€ 185.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/perfekte-raumaufteilung-sonnige-altbauwohung-ruhige-lage-bahnhof-hernals-1044521838/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,40 m²,€ 299.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730758735/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,39 m²,€ 299.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730758740/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,39 m²,€ 299.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730758746/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,39 m²,€ 309.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730758748/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,41 m²,€ 324.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730758753/
"Sonnige, charmante Altbauwohung - perfekte Raumaufteilung - ruhige Lage",1160,36 m²,€ 179.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/sonnige-charmante-altbauwohung-perfekte-raumaufteilung-ruhige-lage-1803657582/
Sanierte Traumwohnung | Ruhelage | Nähe Schlingermarkt,1210,55 m²,€ 199.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1210-floridsdorf/sanierte-traumwohnung-ruhelage-naehe-schlingermarkt-1325024854/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,43 m²,€ 290.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730747122/
Entdecken Sie Maja: Eine zeitgenössisch-moderne Oase im Herzen des 10. Bezirks.,1100,38 m²,€ 239.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/entdecken-sie-maja-eine-zeitgenoessisch-moderne-oase-im-herzen-des-10-bezirks-1913243622/
Exklusive 2-Zimmer Wohnung mit Me(hr)blick. Top Lage an der oberen Alten Donau,1220,78 m²,€ 1.599.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/exklusive-2-zimmer-wohnung-mit-me-hr-blick-top-lage-an-der-oberen-alten-donau-1380513260/
Es grünt so grün... im eigenen 96 m² Garten. Schlüsselfertige 2-Zimmerwohnung nahe Donau Zentrum,1220,96 m²,€ 529.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/es-gruent-so-gruen-im-eigenen-96-m-garten-schluesselfertige-2-zimmerwohnung-nahe-donau-zentrum-1218078764/
An der Sonnenseite. Helle 3-Zimmer Wohnung mit Terrasse in der Nähe der Donau-Auen. Bezugsfertig,1220,102 m²,€ 799.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/an-der-sonnenseite-helle-3-zimmer-wohnung-mit-terrasse-in-der-naehe-der-donau-auen-bezugsfertig-1225312774/
Harmonische 3-Zimmer-Neubauwohnung auf der Perfektastraße zu verkaufen!,1230,69 m²,€ 369.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/harmonische-3-zimmer-neubauwohnung-auf-der-perfektastrasse-zu-verkaufen-1876842531/
++NEU++ 2 Zimmer Altbau Wohnung in Hofruhelage- Toller Grundriss,1150,45 m²,€ 158.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1150-rudolfsheim-fuenfhaus/-neu-2-zimmer-altbau-wohnung-in-hofruhelage-toller-grundriss-996024850/
++NEU++ 3-Zimmer Dachgeschoss-Maisonettewohnung mit Terrasse!!!,1150,78 m²,€ 448.890,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1150-rudolfsheim-fuenfhaus/-neu-3-zimmer-dachgeschoss-maisonettewohnung-mit-terrasse-2091069049/
Erstbezug! sanierte Altbau-Wohnung mit Balkon mit Balkon,1190,43 m²,€ 260.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/erstbezug-sanierte-altbau-wohnung-mit-balkon-mit-balkon-1826093110/
Nähe U6 Josefstädterstrasse ! Befristet vermietet ! EIGENTUMSWOHNUNG ! Ruhiger Innenhof !,1160,61 m²,€ 239.999,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/naehe-u6-josefstaedterstrasse-befristet-vermietet-eigentumswohnung-ruhiger-innenhof-2131052354/
Mischek Tower- 2 Zimmer- Wohnung mit Loggia bei der UNO City.,1220,58 m²,€ 390.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/mischek-tower-2-zimmer-wohnung-mit-loggia-bei-der-uno-city-1880493190/
Airbnb Vermietung möglich- Erstbezug nach Sanierung- 2 Zimmerwohnung auf Wunsch mit Balkon!,1140,55 m²,€ 299.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1140-penzing/airbnb-vermietung-moeglich-erstbezug-nach-sanierung-2-zimmerwohnung-auf-wunsch-mit-balkon-1038816096/
WOHNBAUPROJEKT IN PENZING NOCH 5 WOHNEINHEITEN VERFÜGBAR,1140,56 m²,€ 289.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1140-penzing/wohnbauprojekt-in-penzing-noch-5-wohneinheiten-verfuegbar-1571223436/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,45 m²,€ 372.800,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1892125010/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,51 m²,€ 396.200,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1521480776/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,52 m²,€ 405.100,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1165307866/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,45 m²,€ 372.700,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1802524536/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,51 m²,€ 415.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-2065789304/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,96 m²,€ 781.600,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1421641772/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,43 m²,€ 367.200,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1380394565/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,66 m²,€ 558.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-970411971/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,52 m²,€ 404.200,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-991509546/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,103 m²,€ 807.400,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1688344175/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,102 m²,€ 852.800,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-903849595/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,52 m²,€ 411.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1884812285/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,43 m²,€ 367.100,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1101495008/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,50 m²,€ 435.800,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1547683869/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,126 m²,€ 1.078.700,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1757974006/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,90 m²,€ 756.400,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1550965312/
Erstbezug nach Generalsanierung - Zentrale Lage direkt bei der Volksoper / Währinger Straße / U6,1090,86 m²,€ 375.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1090-alsergrund/erstbezug-nach-generalsanierung-zentrale-lage-direkt-bei-der-volksoper-waehringer-strasse-u6-1794238250/
DACHGESCHOSS-TRAUM MIT POOL UND PANORAMABLICK,1220,229 m²,€ 2.900.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/dachgeschoss-traum-mit-pool-und-panoramablick-1075663614/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,65 m²,€ 528.100,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1155178694/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,43 m²,€ 402.400,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-2029011786/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,55 m²,€ 328.300,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-935650208/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,55 m²,€ 327.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1391733513/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,38 m²,€ 233.300,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1181737620/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,75 m²,€ 424.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-800313633/
PROVISIONSFREI - Modernes wohnen am Donauufer!,1200,38 m²,€ 217.100,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-1408839424/
